Seed;553488
SmoothNormals;True
InterpolateVertices;True
TrimOutputBuffer;False
ChunkSize;25,00
TerrainSizeX;20,00
TerrainSizeY;10,00
TerrainSizeZ;20,00
NoiseFrequency;13,00
NoiseStrength;0,05
NoiseLayers;3
NoiseLayerFrequencyMultiplier;2,10
cubesPerUnitLimit;15
numberOfShortMeasurments;10
numberOfLongMeasurments;3
shortMeasurmentTresholdSeconds;10,00
measurmentLengthLimitSeconds;10,00
fpsMeasurmentDurationSeconds;5,00

CPU
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation min time (ms);Voxel_Generation max time (ms);Marching_Cubes time (ms);Marching_Cubes min time (ms);Marching_Cubes max time (ms);Mesh_Smoothing time (ms);Mesh_Smoothing min time (ms);Mesh_Smoothing max time (ms);Mesh_Building time (ms);Mesh_Building min time (ms);Mesh_Building max time (ms);Buffer_Trimming time (ms);Buffer_Trimming min time (ms);Buffer_Trimming max time (ms);Mesh_Rendering time (ms);Mesh_Rendering min time (ms);Mesh_Rendering max time (ms);Total_Time time (ms);Total_Time min time (ms);Total_Time max time (ms);GPU memory used (b);Average frame rate
GPU_NoGeometryAll
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation min time (ms);Voxel_Generation max time (ms);Marching_Cubes time (ms);Marching_Cubes min time (ms);Marching_Cubes max time (ms);Mesh_Smoothing time (ms);Mesh_Smoothing min time (ms);Mesh_Smoothing max time (ms);Mesh_Building time (ms);Mesh_Building min time (ms);Mesh_Building max time (ms);Buffer_Trimming time (ms);Buffer_Trimming min time (ms);Buffer_Trimming max time (ms);Mesh_Rendering time (ms);Mesh_Rendering min time (ms);Mesh_Rendering max time (ms);Total_Time time (ms);Total_Time min time (ms);Total_Time max time (ms);GPU memory used (b);Average frame rate
1;4000;0,04;0,04;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,04;0,04;0,00;0,00;0,00;49,64;41,93;65,38;49,75;42,03;65,49;1440000;200,00
2;32000;0,04;0,04;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,04;0,04;0,00;0,00;0,00;52,93;41,83;93,31;53,03;41,93;93,41;11520000;200,20
3;108000;0,07;0,07;0,09;0,04;0,03;0,04;0,03;0,03;0,03;0,09;0,09;0,10;0,00;0,00;0,00;96,96;63,69;106,88;97,19;63,92;107,14;38880000;200,20
4;256000;0,07;0,07;0,08;0,04;0,03;0,04;0,03;0,03;0,04;0,09;0,09;0,10;0,00;0,00;0,00;94,40;84,76;100,93;94,63;84,99;101,16;92160000;200,20
5;500000;0,20;0,19;0,20;0,13;0,13;0,13;0,12;0,12;0,13;0,33;0,33;0,34;0,00;0,00;0,00;306,73;106,32;333,16;307,51;107,12;333,94;180000000;188,60
6;864000;0,19;0,19;0,20;0,13;0,13;0,14;0,12;0,12;0,13;0,34;0,33;0,35;0,00;0,00;0,00;328,21;311,92;342,27;329,00;312,69;343,06;311040000;187,60
7;1372000;0,32;0,31;0,33;0,23;0,22;0,24;0,21;0,21;0,22;0,58;0,57;0,59;0,00;0,00;0,00;534,18;334,60;563,21;535,52;335,94;564,55;493920000;111,40
8;2048000;0,32;0,31;0,34;0,23;0,22;0,24;0,21;0,21;0,21;0,59;0,57;0,61;0,00;0,00;0,00;558,26;529,72;572,25;559,60;531,07;573,59;737280000;111,00
9;2916000;0,70;0,66;0,73;0,52;0,50;0,53;0,49;0,48;0,50;1,33;1,29;1,36;0,00;0,00;0,00;1158,43;558,27;1235,52;1161,46;561,38;1238,58;1049760000;49,80
10;4000000;0,69;0,65;0,73;0,52;0,51;0,55;0,49;0,48;0,52;1,33;1,27;1,38;0,00;0,00;0,00;1216,11;1190,32;1233,29;1219,14;1193,32;1236,31;1440000000;49,60
11;5324000;0,97;0,94;1,01;0,74;0,72;0,77;0,71;0,69;0,73;1,94;1,87;2,18;0,00;0,00;0,00;1704,94;1214,82;1778,94;1709,30;1219,18;1783,30;1916640000;35,60
12;6912000;0,98;0,94;1,07;0,75;0,73;0,81;0,71;0,68;0,77;1,98;1,90;2,09;0,00;0,00;0,00;1751,41;1686,69;1805,89;1755,83;1691,02;1810,23;2488320000;35,60
13;8788000;1,71;1,65;1,77;1,33;1,30;1,36;1,27;1,24;1,30;3,45;3,37;3,53;0,00;0,00;0,00;3194,47;1762,33;3534,61;3202,24;1770,20;3542,27;3163680000;20,20
14;10976000;1,74;1,68;1,78;1,33;1,30;1,40;1,29;1,25;1,34;3,52;3,31;3,64;0,00;0,00;0,00;3367,88;3308,60;3438,38;3375,76;3316,40;3446,37;3951360000;20,00
15;13500000;1,82;1,71;2,05;1,38;1,30;1,51;1,33;1,25;1,43;3,67;3,35;3,98;0,00;0,00;0,00;5498,81;3509,61;8317,64;5507,00;3517,29;8325,85;4860000000;20,00

GPU_GeometryExact
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation min time (ms);Voxel_Generation max time (ms);Marching_Cubes time (ms);Marching_Cubes min time (ms);Marching_Cubes max time (ms);Mesh_Smoothing time (ms);Mesh_Smoothing min time (ms);Mesh_Smoothing max time (ms);Mesh_Building time (ms);Mesh_Building min time (ms);Mesh_Building max time (ms);Buffer_Trimming time (ms);Buffer_Trimming min time (ms);Buffer_Trimming max time (ms);Mesh_Rendering time (ms);Mesh_Rendering min time (ms);Mesh_Rendering max time (ms);Total_Time time (ms);Total_Time min time (ms);Total_Time max time (ms);GPU memory used (b);Average frame rate
1;4000;0,05;0,04;0,07;0,01;0,01;0,01;0,01;0,01;0,01;4,65;3,93;8,32;0,00;0,00;0,00;30,50;26,35;40,00;35,22;30,35;44,21;1440000;199,80
2;32000;0,04;0,04;0,05;0,01;0,01;0,02;0,01;0,01;0,01;5,66;4,83;10,58;0,00;0,00;0,00;31,22;26,46;37,82;36,94;31,41;42,78;11520000;200,40
3;108000;0,10;0,09;0,11;0,04;0,04;0,05;0,03;0,03;0,04;16,89;8,05;32,12;0,00;0,00;0,00;32,61;28,10;39,23;49,67;36,95;70,74;38880000;199,80
4;256000;0,11;0,09;0,12;0,04;0,04;0,05;0,03;0,03;0,04;28,33;18,51;34,62;0,00;0,00;0,00;35,66;28,78;42,64;64,17;47,88;75,62;92160000;200,40
5;500000;0,32;0,28;0,36;0,16;0,15;0,18;0,14;0,14;0,15;71,61;48,94;121,20;0,00;0,00;0,00;39,19;30,74;48,50;111,43;83,68;170,36;180000000;200,20
6;864000;0,34;0,30;0,38;0,17;0,16;0,18;0,14;0,13;0,15;77,82;59,76;120,63;0,00;0,00;0,00;44,11;37,69;54,66;122,59;103,48;175,99;311040000;200,40
7;1372000;0,55;0,47;0,60;0,29;0,26;0,31;0,24;0,22;0,24;120,13;104,46;184,85;0,00;0,00;0,00;49,21;46,11;57,89;170,42;154,54;243,86;493920000;200,40
8;2048000;0,57;0,50;0,71;0,29;0,27;0,32;0,24;0,23;0,27;124,57;109,91;196,62;0,00;0,00;0,00;50,96;49,04;63,81;176,64;160,40;261,52;737280000;200,20
